sex,minority,mathPrescore,mathGain,ses,teachXper,teachrMath,povertyRate,teachrMathprep,classid,schoolid,childid
M,0,494,58,2.15,6,0.12,0.101,4,86,11,116
F,0,479,90,0.56,6,0.12,0.101,4,86,11,117
F,0,538,35,-0.66,6,0.12,0.101,4,86,11,118
F,0,484,84,0.9,4,-0.42,0.101,2.5,113,11,119
M,0,576,8,-0.07,4,-0.42,0.101,2.5,113,11,120
F,0,485,58,0.4,4,-0.42,0.101,2.5,113,11,121
M,0,535,22,1.31,24,-0.13,0.101,2.25,131,11,122
F,0,467,77,-0.27,24,-0.13,0.101,2.25,131,11,123
M,0,505,25,-0.01,3,-0.52,0.101,2.24,172,11,124
F,0,480,22,0.27,3,-0.52,0.101,2.24,172,11,125
F,0,629,-35,0.07,3,-0.52,0.101,2.24,172,11,126
F,0,488,38,0.94,3,-0.52,0.101,2.24,172,11,127
F,1,509,28,0.63,3,0.31,0.101,2.5,195,11,128
F,0,493,77,0.41,3,0.31,0.101,2.5,195,11,129
M,0,470,69,-0.32,3,0.31,0.101,2.5,195,11,130
M,0,529,62,2.06,3,0.31,0.101,2.5,195,11,131
F,0,468,38,-0.02,1,-0.73,0.101,3,201,11,132
F,1,514,18,0.03,1,-0.73,0.101,3,201,11,133
F,0,465,67,0.21,1,-0.73,0.101,3,201,11,134
F,0,511,20,1.06,1,-0.73,0.101,3,201,11,135
M,1,461,42,-1.17,1,-0.73,0.101,3,201,11,136
M,0,496,54,0.71,27,-1.32,0.101,2,233,11,137
F,0,499,111,0.61,2,-0.72,0.101,2,285,11,138
F,0,454,68,-0.34,2,-0.72,0.101,2,285,11,139
F,0,527,38,0.1,2,-0.72,0.101,2,285,11,140
F,0,516,51,0.8,4,-1.02,0.101,2.5,293,11,141
M,1,434,94,-0.77,4,-1.02,0.101,2.5,293,11,142
F,0,499,39,1.32,4,-1.02,0.101,2.5,293,11,143
M,0,469,96,0.03,4,-1.02,0.101,2.5,293,11,144
M,1,424,36,-0.03,6,0.32,0.106,3,20,12,145
M,1,485,58,-0.03,6,0.32,0.106,3,20,12,146
F,1,463,53,0.59,6,0.32,0.106,3,20,12,147
M,1,427,63,0.45,5,-0.84,0.106,1.5,49,12,148
M,1,401,74,-0.22,5,-0.84,0.106,1.5,49,12,149
F,1,486,23,0.61,5,-0.84,0.106,1.5,49,12,150
F,1,522,12,-0.03,5,-0.84,0.106,1.5,49,12,151
M,1,450,53,-0.03,5,-0.84,0.106,1.5,49,12,152
M,1,408,104,-0.03,5,-0.84,0.106,1.5,49,12,153
M,1,493,27,1.12,2,1.21,0.106,2,81,12,154
F,1,417,46,-0.03,2,1.21,0.106,2,81,12,155
M,1,428,95,-0.03,2,1.21,0.106,2,81,12,156
F,1,453,50,-0.6,2,1.21,0.106,2,81,12,157
F,1,435,84,-0.03,2,1.21,0.106,2,81,12,158
F,1,450,40,-0.6,2,1.21,0.106,2,81,12,159
F,1,464,59,-0.03,2,1.21,0.106,2,81,12,160
F,1,433,91,-0.42,2,1.21,0.106,2,81,12,161
M,1,429,111,0.73,16,NA,0.106,3.06,251,12,162
F,1,497,41,0.88,16,NA,0.106,3.06,251,12,163
M,1,430,18,0.26,16,NA,0.106,3.06,251,12,164
F,1,535,28,0.07,25,-0.19,0.106,2.5,302,12,165
M,1,535,5,0.18,25,-0.19,0.106,2.5,302,12,166
F,1,508,67,1.64,25,-0.19,0.106,2.5,302,12,167
M,1,459,59,-0.03,25,-0.19,0.106,2.5,302,12,168
M,1,474,45,0.73,25,-0.19,0.106,2.5,302,12,169
M,1,491,47,-0.03,25,-0.19,0.106,2.5,302,12,170
F,1,491,26,1.32,25,-0.19,0.106,2.5,302,12,171
M,1,433,52,0.86,20,0.12,0.055,2.5,64,13,172
F,0,462,32,0.58,20,0.12,0.055,2.5,64,13,173
F,0,462,44,-0.76,20,0.12,0.055,2.5,64,13,174
F,0,506,41,-0.24,20,0.12,0.055,2.5,64,13,175
M,0,477,98,0.01,20,0.12,0.055,2.5,64,13,176
F,0,466,59,0.29,1,1.19,0.055,2,166,13,177
M,0,529,-11,0.08,1,1.19,0.055,2,166,13,178
F,0,499,35,-0.19,1,1.19,0.055,2,166,13,179
M,1,481,79,0.31,1,1.19,0.055,2,166,13,180
M,1,470,26,-0.37,17,0.86,0.157,5.25,41,14,181
M,1,519,-11,-0.14,17,0.86,0.157,5.25,41,14,182
F,1,441,23,0.05,17,0.86,0.157,5.25,41,14,183
M,1,436,88,0.29,17,0.86,0.157,5.25,41,14,184
F,1,431,52,-1.12,17,0.86,0.157,5.25,41,14,185
M,1,515,13,0.24,24,0.12,0.157,3,141,14,186
M,1,467,32,-0.42,24,0.12,0.157,3,141,14,187
F,1,455,19,-0.3,24,0.12,0.157,3,141,14,188
F,1,415,62,-0.2,24,0.12,0.157,3,141,14,189
M,1,477,69,0.09,24,0.12,0.157,3,141,14,190
M,1,490,71,0.01,22,-0.42,0.157,2,167,14,191
M,1,521,25,0.06,22,-0.42,0.157,2,167,14,192
M,1,437,90,0.03,22,-0.42,0.157,2,167,14,193
M,1,526,41,-0.39,22,-0.42,0.157,2,167,14,194
F,1,434,65,0.34,22,-0.42,0.157,2,167,14,195
M,1,342,182,-0.24,14,0.15,0.121,1.33,5,15,196
F,1,404,79,0.73,24,-0.7,0.121,6,85,15,197
F,1,457,36,0.07,24,-0.7,0.121,6,85,15,198
F,0,457,47,-0.37,24,-0.7,0.121,6,85,15,199
F,1,397,103,-0.35,24,-0.7,0.121,6,85,15,200
M,0,422,91,-0.29,24,-0.7,0.121,6,85,15,201
M,1,424,113,-0.91,24,-0.7,0.121,6,85,15,202
M,1,439,98,0.23,24,-0.7,0.121,6,85,15,203
F,1,449,94,-0.48,30,-0.34,0.121,2.25,92,15,204
M,1,506,39,0.97,12,0.35,0.121,2.5,119,15,205
M,1,533,33,-0.97,5,-1.21,0.121,1,260,15,206
F,1,446,38,-1.01,5,-1.21,0.121,1,260,15,207
M,1,521,22,-0.76,5,-1.21,0.121,1,260,15,208
M,1,412,118,1.46,12,0.89,0.113,2.3,206,16,209
F,1,474,83,0.68,12,0.89,0.113,2.3,206,16,210
F,1,447,78,0.05,12,0.89,0.113,2.3,206,16,211
M,1,441,74,-1.52,12,0.89,0.113,2.3,206,16,212
F,1,411,90,-0.02,12,0.89,0.113,2.3,206,16,213
F,1,390,108,-0.44,12,-0.48,0.113,4,256,16,214
M,1,429,51,-1.03,21,NA,0.261,2.83,7,17,215
F,1,381,143,-0.49,5,-1.26,0.261,3.25,10,17,216
M,1,419,69,-1.35,5,-1.26,0.261,3.25,10,17,217
M,1,441,54,-0.49,19,-0.42,0.261,2.5,87,17,218
M,1,379,129,-0.51,21,-2.31,0.261,3.33,177,17,219
F,1,434,65,1.04,21,-2.31,0.261,3.33,177,17,220
M,1,416,57,-0.72,21,-2.31,0.261,3.33,177,17,221
M,1,403,49,-0.69,8,-1.42,0.261,3,216,17,222
M,1,457,62,-0.93,8,-1.42,0.261,3,216,17,223
M,1,419,71,-0.61,23,1.13,0.272,2.25,31,18,224
F,0,409,75,0.57,23,1.13,0.272,2.25,31,18,225
M,0,290,164,-0.14,23,1.13,0.272,2.25,31,18,226
F,0,440,49,-0.03,23,1.13,0.272,2.25,31,18,227
M,1,431,80,-0.18,1,-0.41,0.058,2.25,98,19,228
M,1,437,37,-0.85,1,-0.41,0.058,2.25,98,19,229
M,1,477,45,-0.13,1,-0.41,0.058,2.25,98,19,230
M,1,416,56,1.56,1,-0.41,0.058,2.25,98,19,231
F,1,455,50,-0.16,1,-0.41,0.058,2.25,98,19,232
F,1,470,24,-0.36,30,-1.39,0.058,5.5,110,19,233
M,1,456,101,-0.15,30,-1.39,0.058,5.5,110,19,234
F,1,422,31,-0.61,30,-1.39,0.058,5.5,110,19,235
F,1,484,51,1.22,30,-1.39,0.058,5.5,110,19,236
F,1,463,57,0.29,2,-0.17,0.058,1.75,170,19,237
F,1,398,79,-0.66,2,-0.17,0.058,1.75,170,19,238
F,1,445,72,-0.8,19,-1.84,0.532,3.33,30,20,239
F,1,484,29,-0.58,19,-1.84,0.532,3.33,30,20,240
F,1,393,47,-0.51,19,-1.84,0.532,3.33,30,20,241
F,1,447,68,-1.01,19,-1.84,0.532,3.33,30,20,242
M,1,429,67,-0.47,5,-0.5,0.532,2.5,94,20,243
M,1,453,41,-0.64,5,-0.5,0.532,2.5,94,20,244
F,1,508,63,-0.24,5,-0.5,0.532,2.5,94,20,245
F,1,462,97,0.61,5,-0.5,0.532,2.5,94,20,246
M,1,435,67,-0.63,5,-0.5,0.532,2.5,94,20,247
M,1,485,43,-0.4,5,-0.5,0.532,2.5,94,20,248
M,1,484,68,-0.98,6,-0.84,0.532,2.25,101,20,249
F,1,417,79,-1.16,6,-0.84,0.532,2.25,101,20,250
M,1,431,36,-0.32,8,-0.12,0.187,3.75,6,21,251
M,1,454,23,-0.03,8,-0.12,0.187,3.75,6,21,252
M,0,452,34,0.28,8,-0.12,0.187,3.75,6,21,253
F,1,448,44,0.31,8,-0.12,0.187,3.75,6,21,254
F,0,405,60,0.33,8,-0.12,0.187,3.75,6,21,255
M,1,460,86,0.2,14,-0.17,0.187,3.17,130,21,256
M,1,435,24,-0.44,14,-0.17,0.187,3.17,130,21,257
M,1,461,73,0.68,14,-0.17,0.187,3.17,130,21,258
M,0,434,75,0.1,14,-0.17,0.187,3.17,130,21,259
M,1,494,46,0.25,12,-0.13,0.187,4.5,158,21,260
M,1,443,87,0.51,12,-0.13,0.187,4.5,158,21,261
M,1,524,49,0.08,12,-0.13,0.187,4.5,158,21,262
M,1,437,67,0.53,12,-0.13,0.187,4.5,158,21,263
M,1,392,91,-0.8,12,-0.13,0.187,4.5,158,21,264
M,1,457,28,-0.16,12,-0.13,0.187,4.5,158,21,265
F,0,431,102,-1.1,12,-0.13,0.187,4.5,158,21,266
F,1,494,39,0.37,12,-0.13,0.187,4.5,158,21,267
M,1,433,46,-1.44,0,-0.72,0.438,2,159,22,268
F,1,449,48,0.47,0,-0.72,0.438,2,159,22,269
F,1,447,39,0.31,0,-0.72,0.438,2,159,22,270
F,1,462,25,-0.3,0,-0.72,0.438,2,159,22,271
M,1,459,82,-0.89,14,-0.76,0.282,2.25,43,23,272
F,1,495,34,0.59,14,-0.76,0.282,2.25,43,23,273
M,1,483,43,-0.78,14,-0.76,0.282,2.25,43,23,274
F,1,462,117,-0.81,3,0.12,0.282,2,47,23,275
M,1,447,74,-0.75,21,0.55,0.282,2.25,163,23,276
F,1,497,30,-0.33,27,-1.02,0.263,2.25,55,24,277
F,1,494,-2,0.19,27,-1.02,0.263,2.25,55,24,278
F,1,427,65,0.68,27,-1.02,0.263,2.25,55,24,279
F,1,447,30,-0.17,27,-1.02,0.263,2.25,55,24,280
F,1,477,0,-0.87,27,-1.02,0.263,2.25,55,24,281
M,1,539,-16,1.57,31,-1.68,0.263,3,77,24,282
F,1,431,106,-0.34,5,0.72,0.263,2.25,93,24,283
F,1,496,88,0.21,9,-0.79,0.263,2.5,150,24,284
F,1,443,38,-0.03,15,-0.77,0.309,2.17,97,25,285
F,1,469,27,0.03,15,-0.77,0.309,2.17,97,25,286
F,1,374,59,-0.4,6,0.93,0.309,2,297,25,287
F,1,513,-6,-0.76,6,0.93,0.309,2,297,25,288
F,1,450,34,-0.03,6,0.93,0.309,2,297,25,289
M,1,447,7,0.53,6,0.93,0.309,2,297,25,290
M,1,450,39,-0.64,6,0.93,0.309,2,297,25,291
M,1,439,97,0.67,4,0.61,0.564,2.25,78,26,292
M,1,480,56,-0.03,4,0.61,0.564,2.25,78,26,293
F,1,497,56,-1.37,4,0.61,0.564,2.25,78,26,294
F,1,482,43,-0.25,4,0.61,0.564,2.25,78,26,295
M,1,409,71,0.35,4,0.61,0.564,2.25,78,26,296
F,1,466,42,-0.53,4,0.61,0.564,2.25,78,26,297
M,1,439,88,-0.32,4,0.61,0.564,2.25,78,26,298
M,1,430,86,1.04,4,0.61,0.564,2.25,78,26,299
F,1,470,41,0.4,13,1.31,0.564,4.75,102,26,300
M,1,476,43,-0.03,13,1.31,0.564,4.75,102,26,301
M,1,481,78,-1.35,13,1.31,0.564,4.75,102,26,302
M,1,443,65,-0.03,0,0.59,0.564,2,139,26,303
F,1,415,-2,-0.03,0,0.59,0.564,2,139,26,304
F,1,503,41,0.54,0,0.59,0.564,2,139,26,305
M,1,468,64,0.21,0,0.59,0.564,2,139,26,306
M,0,515,30,1.02,9,0.43,0.05,3,104,27,307
M,0,505,48,1.14,9,0.43,0.05,3,104,27,308
M,0,440,44,0.51,9,0.43,0.05,3,104,27,309
M,0,454,25,-0.63,9,0.43,0.05,3,104,27,310
M,0,520,69,0.36,9,0.43,0.05,3,104,27,311
F,0,542,138,2.27,9,0.43,0.05,3,104,27,312
F,0,498,81,0.52,6,0.15,0.05,2.17,190,27,313
F,0,495,41,-0.39,6,0.15,0.05,2.17,190,27,314
M,0,491,54,-0.18,6,0.15,0.05,2.17,190,27,315
F,0,499,88,-0.38,6,0.15,0.05,2.17,190,27,316
F,0,450,56,-0.2,6,0.15,0.05,2.17,190,27,317
M,0,471,82,-0.06,6,0.15,0.05,2.17,190,27,318
F,0,497,78,0.45,6,0.15,0.05,2.17,190,27,319
M,0,568,19,1.28,6,0.15,0.05,2.17,190,27,320
M,0,509,24,0.63,12,0.01,0.05,1,230,27,321
F,0,544,3,0.02,12,0.01,0.05,1,230,27,322
M,0,536,42,-0.01,3,-0.59,0.05,2,262,27,323
M,0,510,67,0.29,3,-0.59,0.05,2,262,27,324
F,0,408,76,0.8,3,-0.59,0.05,2,262,27,325
M,0,471,54,0.05,3,-0.59,0.05,2,262,27,326
F,0,513,113,2.18,3,-0.59,0.05,2,262,27,327
M,1,544,-5,0.4,26,-0.92,0.214,2,114,28,328
F,1,464,33,-1.45,26,-0.92,0.214,2,114,28,329
F,1,467,47,-1.1,26,-0.92,0.214,2,114,28,330
M,1,397,50,0,26,-0.92,0.214,2,114,28,331
M,1,414,71,0.36,5,-0.72,0.214,2,118,28,332
M,1,511,11,-0.95,27,0.74,0.214,3,202,28,333
M,1,524,2,0.22,27,0.74,0.214,3,202,28,334
F,1,454,10,-0.67,27,0.74,0.214,3,202,28,335
F,1,478,49,0.22,15,-0.6,0.214,1,203,28,336
F,1,290,197,-0.46,15,-0.6,0.214,1,203,28,337
F,0,493,39,0.45,19,0.46,0.102,3.75,115,29,338
F,0,483,89,-0.06,19,0.46,0.102,3.75,115,29,339
M,1,490,56,-0.72,19,0.46,0.102,3.75,115,29,340
F,1,489,34,-0.85,19,0.46,0.102,3.75,115,29,341
F,1,505,17,-0.05,10,0.28,0.102,2,223,29,342
M,0,452,87,1.04,10,0.28,0.102,2,223,29,343
F,1,536,-7,-0.35,10,0.28,0.102,2,223,29,344
F,0,537,42,-0.72,10,0.28,0.102,2,223,29,345
M,1,475,13,0.83,2,0.34,0.085,2,175,30,346
F,1,451,29,-0.1,2,0.34,0.085,2,175,30,347
M,1,401,41,-0.37,2,0.34,0.085,2,175,30,348
F,1,497,-2,-0.05,14,NA,0.012,4,51,31,349
M,1,406,64,-0.35,14,NA,0.012,4,51,31,350
M,1,460,41,-0.05,14,NA,0.012,4,51,31,351
F,1,432,18,-0.48,14,NA,0.012,4,51,31,352
F,1,414,61,-0.78,14,NA,0.012,4,51,31,353
M,1,370,91,-0.8,14,NA,0.012,4,51,31,354
M,1,405,94,-0.25,8,-0.72,0.012,2,156,31,355
M,1,454,31,0.02,8,-0.72,0.012,2,156,31,356
M,1,454,55,0.25,8,-0.72,0.012,2,156,31,357
F,1,471,14,-0.72,8,-0.72,0.012,2,156,31,358
F,1,463,43,-0.23,8,-0.72,0.012,2,156,31,359
F,1,448,70,1.06,8,-0.72,0.012,2,156,31,360
M,1,480,76,-0.88,12,1.18,0.012,5.25,234,31,361
F,1,467,25,-0.12,12,1.18,0.012,5.25,234,31,362
F,1,495,45,-0.38,12,1.18,0.012,5.25,234,31,363
F,1,451,44,1.34,12,1.18,0.012,5.25,234,31,364
F,1,370,163,-0.96,12,1.18,0.012,5.25,234,31,365
F,1,435,97,0.01,12,1.18,0.012,5.25,234,31,366
F,1,410,84,-0.03,12,1.18,0.012,5.25,234,31,367
F,1,451,-20,0.39,20,-1.21,0.012,2,258,31,368
F,1,487,13,-0.42,20,-1.21,0.012,2,258,31,369
M,1,453,7,-0.53,20,-1.21,0.012,2,258,31,370
M,1,470,100,0.01,9,0.12,0.261,2,191,32,371
F,1,488,61,0.6,18,-0.83,0.261,2.25,204,32,372
F,1,561,3,1.06,18,-0.83,0.261,2.25,204,32,373
F,1,452,92,0.49,24,-0.24,0.261,2,252,32,374
M,1,516,32,-0.5,24,-0.24,0.261,2,252,32,375
F,1,470,68,0.54,24,-0.24,0.261,2,252,32,376
F,1,515,56,-0.36,24,-0.24,0.261,2,252,32,377
M,1,492,74,-0.74,24,-0.24,0.261,2,252,32,378
F,1,529,-12,-0.03,24,-0.24,0.261,2,252,32,379
F,1,398,65,-0.12,19,-0.45,0.047,4.5,26,33,380
F,1,453,49,-0.72,19,-0.45,0.047,4.5,26,33,381
F,1,523,47,-0.29,19,-0.45,0.047,4.5,26,33,382
F,1,440,94,-0.03,19,-0.45,0.047,4.5,26,33,383
M,1,419,102,0.01,19,-0.45,0.047,4.5,26,33,384
M,1,395,103,-0.09,19,-0.45,0.047,4.5,26,33,385
M,1,483,32,-1.17,19,-0.45,0.047,4.5,26,33,386
F,1,439,100,0.6,19,-0.45,0.047,4.5,26,33,387
F,1,498,53,1.32,19,-0.45,0.047,4.5,26,33,388
F,1,478,96,0.99,19,-0.45,0.047,4.5,26,33,389
M,1,508,-20,-0.4,1,NA,0.047,2.3,32,33,390
F,1,496,29,1.17,1,NA,0.047,2.3,32,33,391
M,1,448,101,-0.31,1,NA,0.047,2.3,32,33,392
F,1,483,12,-0.03,1,NA,0.047,2.3,32,33,393
M,1,476,27,0.2,2,-0.72,0.047,5.5,88,33,394
F,1,485,16,0.08,2,-0.72,0.047,5.5,88,33,395
F,1,443,39,-1.32,19,0.12,0.047,4,100,33,396
M,1,423,62,-0.4,3,1.05,0.047,2.75,229,33,397
M,1,380,118,-0.01,3,1.05,0.047,2.75,229,33,398
F,1,395,137,0.06,3,1.05,0.047,2.75,229,33,399
M,1,454,58,2.17,3,1.05,0.047,2.75,229,33,400
M,1,393,57,0.55,3,1.05,0.047,2.75,229,33,401
M,1,453,60,-0.41,2,0.58,0.303,3,2,34,402
M,0,472,52,-1.61,2,0.58,0.303,3,2,34,403
F,1,437,85,0.55,2,0.58,0.303,3,2,34,404
F,1,475,56,0.04,7,0.5,0.303,4.17,188,34,405
M,1,412,41,-1.43,7,0.5,0.303,4.17,188,34,406
F,1,423,73,-1.43,7,0.5,0.303,4.17,188,34,407
M,1,439,-12,-0.83,7,0.5,0.303,4.17,188,34,408
F,0,422,44,-0.97,3,0.71,0.13,5,56,35,409
F,0,507,10,-0.49,3,0.71,0.13,5,56,35,410
M,0,483,-7,-0.62,3,0.71,0.13,5,56,35,411
F,1,499,48,-1.01,3,0.71,0.13,5,56,35,412
F,1,478,55,0.39,3,0.71,0.13,5,56,35,413
M,0,456,53,-0.31,10,1.86,0.13,2,122,35,414
M,0,494,8,-0.85,10,1.86,0.13,2,122,35,415
F,0,480,54,-0.52,10,1.86,0.13,2,122,35,416
M,0,551,7,-0.27,10,1.86,0.13,2,122,35,417
M,0,446,26,-1.13,10,1.86,0.13,2,122,35,418
M,0,476,34,-0.17,10,1.86,0.13,2,122,35,419
F,1,500,31,-0.18,1,-0.12,0.088,3,63,36,420
F,0,500,80,-0.16,1,-0.12,0.088,3,63,36,421
F,1,446,77,0.54,14,0.48,0.088,1.5,180,36,422
M,1,445,60,1.07,14,0.48,0.088,1.5,180,36,423
F,1,436,88,-0.84,14,0.48,0.088,1.5,180,36,424
F,1,504,76,-0.5,14,0.48,0.088,1.5,180,36,425
M,1,420,88,-0.35,14,0.48,0.088,1.5,180,36,426
F,1,495,76,-0.27,14,0.48,0.088,1.5,180,36,427
F,1,448,37,-0.02,9,-1.53,0.249,2,103,37,428
F,1,465,5,-0.44,9,-1.53,0.249,2,103,37,429
F,1,473,18,-0.48,9,-1.53,0.249,2,103,37,430
M,1,350,136,-0.35,28,-0.28,0.249,3,125,37,431
